Then I'll Count Again,Johnny Tillotson,2:04,"oldies,60s,rocknroll,pop,johnnytillotson,rockandroll",Johnny+Tillotson/_/Then+I%27ll+Count+Again
Un Dia (One Day),"J Balvin, Dua Lipa, Bad Bunny & Tainy",3:52,"urbanolatino,latinpop","J+Balvin,+Dua+Lipa,+Bad+Bunny+&+Tainy/_/UN+DIA+(ONE+DAY)"
No Problem,Lil Scrappy,3:34,"crunk,hip-hop,lilscrappy,dirtysouth",Lil+Scrappy/_/No+Problem
No Way Out,Jefferson Starship,4:24,"classicrock,rock,80s",Jefferson+Starship/_/No+Way+Out
Lodi,Creedence Clearwater Revival,3:09,"classicrock,60s,southernrock,rock",Creedence+Clearwater+Revival/_/Lodi
Furthest Thing,Drake,4:27,"rap,theendingtho,hip-hop,hiphop,latenight,lovethelyrics",Drake/_/Furthest+Thing
Wobble,V.I.C.,5:22,dance,V.I.C./_/Wobble
You're My World,Helen Reddy,2:46,"pop,70s",Helen+Reddy/_/You%27re+My+World
Ours (Taylor's Version),Taylor Swift,3:55,"country,pop,femalevocalists,singer-songwriter,2023,acoustic",Taylor+Swift/_/Ours+(Taylor%27s+Version)
If I Only Had Time,Nick DeCaro,,,Nick+DeCaro+And+Orchestra/_/If+I+Only+Had+Time
That Didn't Hurt Too Bad,Dr. Hook,2:50,"classicrock,70s,softrock,rock,oldies",Dr.+Hook/_/That+Didn%27t+Hurt+Too+Bad
Hey Daddy (Daddy's Home),Usher Featuring Plies,,"rnb,hip-hop,pop,soul",Usher/_/Hey+Daddy+(Daddy%27s+Home)+%5BFeaturing+Plies%5D
Don't Make Me Wait For Love,Kenny G. (Vocal By Lenny Williams),,,Kenny+G+vocal+by+Lenny+Williams/_/Don%27t+Make+Me+Wait+For+Love
What Ifs,Kane Brown Featuring Lauren Alaina,,,Kane+Brown+featuring+Lauren+Alaina/_/What+Ifs
"Gone, Gone, Gone",Phillip Phillips,3:29,"folk,alternativerock,phillipphillips","Phillip+Phillips/_/Gone,+Gone,+Gone"
Far From Yours,O.C. Featuring Yvette Michele,,"hip-hop,rap,newyork,ditc,hiphop,eastcoastrap,undergroundhip-hop",O.C./_/Far+From+Yours+(featuring+Yvette+Michele)
Faded,Tyga Featuring Lil Wayne,,"hip-hop,rap,hiphop,tyga",Tyga/_/Faded+featuring+Lil+Wayne+(Album+Version+(Explicit))
Good Ride Cowboy,Garth Brooks,3:40,"country,cowboy",Garth+Brooks/_/Good+Ride+Cowboy
